sekolah_id,siap_id,nama,npsn,is_negeri,is_sbi,k_kota,k_propinsi,kota,propinsi,kompetensi,enable,jml_pagu,jml_luar
22010246,20102478,SMP NEGERI 247,20102478,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,37,0
22010247,20101524,SMP NEGERI 248,20101524,true,false,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,45,0
22010248,20101523,SMP NEGERI 249,20101523,true,false,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,51,0
22010249,20102477,SMP NEGERI 250,20102477,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,44,0
22010250,20103582,SMP NEGERI 251,20103582,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,38,0
22010251,20103581,SMP NEGERI 252,20103581,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,51,0
22010252,20102476,SMP NEGERI 253,20102476,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,50,0
22010253,20102475,SMP NEGERI 254,20102475,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,58,0
22010254,20103579,SMP NEGERI 256,20103579,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,51,0
22010255,20103578,SMP NEGERI 257,20103578,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,58,0
22010256,20103577,SMP NEGERI 258,20103577,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,64,0
22010257,20103576,SMP NEGERI 259,20103576,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,57,0
22010258,20100758,SMP NEGERI 261,20100758,true,false,20103,201,Kota Jakarta Utara,DKI Jakarta,Umum,true,44,0
22010259,20103574,SMP NEGERI 262,20103574,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,45,0
22010260,20103573,SMP NEGERI 263,20103573,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,45,0
